,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,State,ZipCode,Neighborhood,Latitude,Longitude,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,YearsENERGYSTARCertified,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
15,21688,2015,NonResidential,Non-Refrigerated Warehouse,JUNEAU STREET ASSOC,3613 S JUNEAU ST,WA,98118,SOUTHEAST,47.54941353,-122.2866398,"Medical Office, Non-Refrigerated Warehouse",Non-Refrigerated Warehouse,Medical Office,,,1952.0,1.0,1.0,27435.0,0.0,27435.0,19120.0,8315.0,,49.0,44.9,94.5,1231546.0,0.0,621684.0,609888.0,36.72,1.24
16,21796,2015,NonResidential,K-12 School,SEATTLE PREP - ADELPHIA,2400 11TH AVE E,WA,98102,EAST,47.64171214,-122.3173859,K-12 School,K-12 School,,,,1905.0,1.0,1.0,83882.0,0.0,83882.0,83882.0,,,72.0,30.3,69.6,2539565.0,0.0,1515673.0,1023954.0,64.95,0.7
17,22138,2015,NonResidential,Worship Facility,BRIGHTON PRESBYTERIAN CHURCH,6721 51ST AVE S,WA,98118,SOUTHEAST,47.54179702,-122.2703046,,,,,,1927.0,1.0,2.0,22029.0,0.0,22029.0,,,,100.0,4.2,13.1,91996.0,0.0,92000.0,0.0,0.64,0.01
18,22441,2015,NonResidential,Small- and Mid-Sized Office,DEPT OF SOCIAL & HEALTH SERVICES,907 NW BALLARD WAY,WA,98107,BALLARD,47.66247704,-122.3695606,Office,Office,,,,1979.0,1.0,2.0,37448.0,0.0,37448.0,37448.0,,,88.0,68.0,179.6,2547582.0,0.0,1937707.0,609955.0,45.9,1.0
20,23163,2015,NonResidential,Medical Office,LESCHI CENTER,606 12TH AVE S,WA,98144,DOWNTOWN,47.59703102,-122.3168033,Medical Office,Medical Office,,,,1995.0,1.0,4.0,43813.0,23086.0,20727.0,45145.0,,,76.0,39.8,125.1,1798899.0,0.0,1798974.0,0.0,12.54,0.11
21,23848,2015,NonResidential,Restaurant,SPAGHETTI FACTORY,2815 ELLIOTT AVE,WA,98121,DOWNTOWN,47.61522339,-122.354154,"Office, Restaurant",Restaurant,Office,,,1902.0,1.0,2.0,40320.0,0.0,40320.0,24514.0,15806.0,,,94.7,193.4,3816695.0,0.0,1814019.0,2002751.0,119.01,2.76
23,24904,2015,NonResidential,Mixed Use Property,RETAIL,1630 15TH AVE W,WA,98119,MAGNOLIA / QUEEN ANNE,47.63452966,-122.3757569,,,,,,1928.0,1.0,2.0,23000.0,0.0,23000.0,,,,,25.9,56.9,595839.0,0.0,326420.0,269432.0,16.59,0.66
24,25042,2015,NonResidential,Other,ALAN FRIEDMAN BUILDING,1701 18TH AVE S,WA,98144,GREATER DUWAMISH,47.58809497,-122.310103,"Outpatient Rehabilitation/Physical Therapy, Parking",Outpatient Rehabilitation/Physical Therapy,Parking,,,1966.0,1.0,2.0,33332.0,0.0,33332.0,33332.0,0.0,,,19.9,37.7,662012.0,0.0,268361.0,393662.0,22.78,0.65
25,25455,2015,NonResidential,Other,DUCATI SEATTLE,711 9TH AVE N,WA,98109,MAGNOLIA / QUEEN ANNE,47.62617011,-122.3401021,Automobile Dealership,Automobile Dealership,,,,1922.0,1.0,1.0,23050.0,0.0,23050.0,23050.0,,,,186.2,373.8,4291789.0,0.0,1966049.0,2325821.0,137.23,5.59
26,25654,2015,NonResidential,Retail Store,FISHER BUILDING,115 S JACKSON ST,WA,98104,DOWNTOWN,47.59894541,-122.3332672,,,,,,1900.0,1.0,2.0,21600.0,0.0,21600.0,,,,,9.0,28.3,184077.0,0.0,184085.0,0.0,1.28,0.02
27,27639,2015,NonResidential,Other,TEATRO ZINZANNI,225 ROY ST,WA,98109,MAGNOLIA / QUEEN ANNE,47.62526703,-122.35187531,Performing Arts,Performing Arts,,,,2008.0,1.0,2.0,23098.0,0.0,23098.0,23098.0,,,,132.4,270.9,3058638.0,0.0,1457443.0,1601256.0,95.2,3.85
28,27829,2015,NonResidential,Small- and Mid-Sized Office,EAST PIKE BUILDING,1205 E PIKE ST,WA,98122,EAST,47.613922,-122.316421,Office,Office,,,,1920.0,1.0,2.0,21228.0,0.0,21228.0,21228.0,,,64.0,37.7,118.3,799996.0,0.0,800029.0,0.0,5.58,0.1
29,49859,2015,Campus,Other,AMGEN INC. MASTER CAMPUS,1201 AMGEN CT W,WA,98119,MAGNOLIA / QUEEN ANNE,47.62811223,-122.3742647,Other,Other,,,,2002.0,7.0,4.0,808520.0,376000.0,432520.0,808520.0,,,,194.9,403.0,157606480.0,0.0,76742000.0,80867644.0,4829.86,5.57
30,1,2016,NonResidential,Hotel,Mayflower park hotel,405 Olive way,WA,98101.0,DOWNTOWN,47.6122,-122.33798999999999,Hotel,Hotel,,,,1927.0,1.0,12.0,88434.0,0.0,88434.0,88434.0,,,62.5,80.299998475,178.0,7103895.25,2013457.0,3816093.5,1274420.5,249.70499999999998,2.7350000000000003
31,2,2016,NonResidential,Hotel,Paramount Hotel,724 Pine street,WA,98101.0,DOWNTOWN,47.613170000000004,-122.33393000000001,"Hotel, Parking, Restaurant",Hotel,Parking,Restaurant,,1996.0,1.0,11.0,103566.0,15064.0,88502.0,83880.0,15064.0,4622.0,56.0,94.60000152500001,183.70000305000002,8371084.0,0.0,3574131.0,4797033.5,279.685,2.62
32,3,2016,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,WA,98101.0,DOWNTOWN,47.613929999999996,-122.3381,Hotel,Hotel,,,,1969.0,1.0,41.0,959050.0,98359.0,860691.0,756868.0,100000.0,0.0,30.5,96.3,242.29999695,72858840.0,20613479.0,49644549.5,2601850.0,2075.38,2.0549999999999997
33,5,2016,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,WA,98101.0,DOWNTOWN,47.61412,-122.33663999999999,Hotel,Hotel,,,,1926.0,1.0,10.0,61320.0,0.0,61320.0,61320.0,,,28.5,285.60000155,426.24999844999996,17511952.0,12836482.125,2768973.5,1906553.5,1111.385,18.025
34,8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,WA,98121.0,DOWNTOWN,47.61375,-122.34047,"Hotel, Parking, Swimming Pool",Hotel,Parking,Swimming Pool,,1980.0,1.0,18.0,147735.0,37230.0,110505.0,123445.0,68009.0,0.0,71.0,117.45000155,220.09999695000002,14500852.5,0.0,5717426.0,8783551.5,506.355,3.4499999999999997
35,9,2016,Nonresidential COS,Other,West Precinct,810 Virginia St,WA,98101.0,DOWNTOWN,47.61623,-122.33657,Police Station,Police Station,,,,1999.0,1.0,2.0,97288.0,37198.0,60090.0,88830.0,,,,135.90000305,314.8999939,12069300.0,0.0,7321219.0,4748232.5,303.21500000000003,2.955
36,10,2016,NonResidential,Hotel,Camlin,1619 9th Avenue,WA,98101.0,DOWNTOWN,47.6139,-122.33283,Hotel,Hotel,,,,1926.0,1.0,11.0,83008.0,0.0,83008.0,81352.0,,,26.0,73.85000152500001,148.05000305,6005818.5,0.0,2745456.5,3260417.5,192.3,2.245
37,11,2016,NonResidential,Other,Paramount Theatre,911 Pine St,WA,98101.0,DOWNTOWN,47.61327,-122.33136,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,,,1926.0,1.0,8.0,102761.0,0.0,102761.0,102761.0,,,,61.89999962,146.94999845,6362076.75,2139697.25,3872329.5,350134.0,210.75,1.965
38,12,2016,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,WA,98104.0,DOWNTOWN,47.602940000000004,-122.33263000000001,Hotel,Hotel,,,,1904.0,1.0,15.0,163984.0,0.0,163984.0,163984.0,,,44.5,80.349998475,177.74999695,13178782.0,0.0,7326784.0,5852150.0,361.885,2.1100000000000003
39,15,2016,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,WA,98101.0,DOWNTOWN,47.60695,-122.33413999999999,Hotel,Hotel,,,,1969.0,1.0,11.0,153163.0,19279.0,133884.0,133884.0,,,39.0,110.34999925,214.49999845000002,15368248.5,4430353.75,6262579.0,4675447.0,633.9449999999999,4.05
40,16,2016,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,WA,98101.0,DOWNTOWN,47.60713,-122.33323,Hotel,Hotel,,,,1998.0,1.0,25.0,333176.0,61161.0,272015.0,336640.0,,,34.0,81.15,203.1,27329068.0,5712878.25,18570885.5,3045700.0,732.185,2.075
41,17,2016,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,WA,98104.0,DOWNTOWN,47.60699,-122.33346,Hotel,Hotel,,,,1928.0,1.0,9.0,65009.0,0.0,65009.0,65009.0,,,43.5,103.1,160.05000305,6701642.25,1821757.75,1479028.5,3400889.5,331.55,5.045
42,18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,WA,98101.0,DOWNTOWN,47.608090000000004,-122.33211999999999,"Hotel, Parking",Hotel,Parking,,,1980.0,1.0,33.0,315952.0,57600.0,258352.0,295511.0,57600.0,,57.0,76.35,181.54999694999998,22568527.0,4534414.25,13997544.5,4036860.0,661.98,2.0
43,19,2016,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,WA,98101.0,DOWNTOWN,47.60755,-122.33243999999999,"Hotel, Parking",Hotel,Parking,,,1922.0,1.0,11.0,79790.0,12600.0,67190.0,67390.0,25200.0,,24.5,162.8,307.39999694999995,10730730.5,4637317.75,3960888.0,2132609.0,498.82,6.25
44,21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,WA,98154.0,DOWNTOWN,47.60649,-122.33296999999999,"Data Center, Library, Parking",Library,Parking,Data Center,,2004.0,1.0,11.0,412000.0,57000.0,355000.0,364913.0,49000.0,1074.0,,48.39999962,148.20000305000002,17719047.0,720371.75,16999007.5,0.0,174.11,0.33999999999999997
45,22,2016,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,WA,98104.0,DOWNTOWN,47.60546,-122.33278999999999,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,Swimming Pool,,1930.0,1.0,6.0,103911.0,0.0,103911.0,90000.0,40000.0,0.0,,78.049999235,165.54999694999998,10148339.0,4495184.75,4871043.5,782220.0,422.475,3.96
46,23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,WA,98104.0,DOWNTOWN,47.606809999999996,-122.33078,"Hotel, Parking",Hotel,Parking,,,1983.0,1.0,28.0,416281.0,85000.0,331281.0,348329.0,85000.0,,30.5,95.900001525,230.2,33413637.0,0.0,21578770.5,11835320.5,779.005,1.76
47,24,2016,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,WA,98104.0,DOWNTOWN,47.60515,-122.33158999999999,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,Restaurant,Office,,1907.0,1.0,5.0,57452.0,0.0,57452.0,16442.0,15505.0,9741.0,,131.29999694999998,279.7000061,7543926.25,1765783.4375,3769383.0,2008837.0,269.26,4.545
48,25,2016,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,WA,98104.0,DOWNTOWN,47.60376,-122.33193999999999,Hotel,Hotel,,,,1916.0,1.0,10.0,104352.0,0.0,104352.0,104352.0,,,61.0,86.250001525,172.5,8999860.0,3318179.5,3849517.5,1832200.0,380.27,3.6100000000000003
49,26,2016,NonResidential,Other,King County Courthouse,516 3RD AVE,WA,98104.0,DOWNTOWN,47.60265,-122.33051,Courthouse,Courthouse,,,,1916.0,1.0,10.0,540360.0,0.0,540360.0,537150.0,,,71.5,91.499998475,195.59999845,49158558.0,0.0,25578369.5,23580743.5,1430.685,2.54
50,27,2016,NonResidential,Other,King County Correctional Facility,500 5TH AVE,WA,98104.0,DOWNTOWN,47.60378,-122.32842,Other,Other,,,,1985.0,1.0,19.0,385274.0,0.0,385274.0,385274.0,,,,128.14999845,237.5,49379530.0,0.0,18967464.5,30412473.5,1747.435,4.425000000000001
52,29,2016,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,WA,98105.0,NORTHEAST,47.65959,-122.31755,"Hotel, Parking",Hotel,Parking,,,2001.0,1.0,6.0,88592.0,30586.0,58006.0,58006.0,30586.0,,84.5,65.05000038,149.75,3772170.25,0.0,2260491.0,1511726.0,96.045,1.03
53,30,2016,NonResidential,University,Main Campus Center,1000 Lenora St.,WA,98121.0,DOWNTOWN,47.618159999999996,-122.33628999999999,College/University,College/University,,,,1928.0,1.0,7.0,126593.0,0.0,126593.0,125000.0,,,,84.499998475,165.95,10567621.5,0.0,4615068.5,5952647.5,348.32000000000005,2.675
54,31,2016,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,WA,98101.0,DOWNTOWN,47.615,-122.33081000000001,Automobile Dealership,Automobile Dealership,,,,1930.0,1.0,2.0,67224.0,0.0,67224.0,67224.0,,,,20.1,63.05000038,1349476.8125,0.0,1349505.5,0.0,9.405000000000001,0.1
55,32,2016,NonResidential,Hotel,Homewood Suites,1011 Pike ST,WA,98101.0,EAST,47.613009999999996,-122.32928999999999,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,Parking,Retail Store,,1991.0,1.0,8.0,158676.0,30301.0,128375.0,112676.0,42000.0,4500.0,,44.75,56.85,5243696.75,0.0,552527.0,4691181.0,253.0,1.59
56,33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,WA,98101.0,DOWNTOWN,47.61784,-122.32966,Hotel,Hotel,,,,2001.0,1.0,10.0,171866.0,38281.0,133585.0,128909.0,,,38.5,85.650001525,182.20000305000002,11044430.5,0.0,5687150.5,5357400.0,324.18,1.815
58,35,2016,NonResidential,Hotel,Hotel Five,2200 5th ave,WA,98121.0,DOWNTOWN,47.61558,-122.34186000000001,Hotel,Hotel,,,,1978.0,1.0,5.0,68410.0,16200.0,52210.0,47994.0,,,58.5,91.700000765,196.89999845,4399210.25,0.0,2311296.5,2087960.5,127.005,1.785
61,38,2016,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,WA,98070.0,LAKE UNION,47.6641,-122.33118,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,K-12 School,Other - Entertainment/Public Assembly,,1906.0,1.0,3.0,87262.0,0.0,87262.0,40943.0,18153.0,4307.0,,60.35,105.3,4067324.75,0.0,1353183.5,2714169.0,153.57999999999998,1.73
62,40,2016,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,WA,98105.0,NORTHEAST,47.66583,-122.29965,Hotel,Hotel,,,,1994.0,1.0,4.0,81871.0,0.0,81871.0,81871.0,,,24.5,86.05,170.5,7044166.75,0.0,3141334.5,3902899.5,229.185,2.715
63,41,2016,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,WA,98105.0,NORTHEAST,47.66172,-122.29598,Self-Storage Facility,Self-Storage Facility,,,,1955.0,1.0,2.0,118375.0,0.0,118375.0,26225.0,,,77.0,11.90000019,34.60000038,312542.90625,0.0,276998.5,35550.0,3.8200000000000003,0.03
64,43,2016,Campus,Mixed Use Property,Plant 2 Site,7755 E MARGINAL WAY S,WA,98108.0,GREATER DUWAMISH,47.534929999999996,-122.31788,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,Laboratory,Non-Refrigerated Warehouse,,1992.0,1.0,3.0,494835.0,0.0,494835.0,757027.0,639931.0,459748.0,8.0,221.6999969,388.2000122,448385312.0,0.0,150476283.0,297909000.0,16870.98,34.09
65,46,2016,NonResidential,Warehouse,Seattle 11-13,3301 S NORFOLK ST,WA,98118.0,GREATER DUWAMISH,47.511379999999996,-122.28875,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,Refrigerated Warehouse,Office,,1961.0,5.0,2.0,714095.0,0.0,714095.0,616000.0,276000.0,71000.0,1.0,56.650000765,177.94999695,46287526.0,0.0,46288511.0,0.0,322.69,0.31
66,50,2016,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,WA,98199.0,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,K-12 School,K-12 School,,,2016,1990.0,1.0,2.0,54986.0,0.0,54986.0,54986.0,,,94.0,30.05,79.050001525,1652945.625,0.0,1249777.0,403195.0,30.125,0.495
68,52,2016,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,WA,98107.0,BALLARD,47.66587,-122.38476000000001,"Non-Refrigerated Warehouse, Office",Office,Non-Refrigerated Warehouse,,,1961.0,1.0,2.0,94900.0,0.0,94900.0,55586.0,39314.0,,57.0,64.449998475,162.15,6115157.25,0.0,4290641.0,1824605.0,126.82,1.24
69,53,2016,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,WA,98144.0,GREATER DUWAMISH,47.58034,-122.31132,"Office, Other - Education",Office,Other - Education,,,1900.0,1.0,2.0,52554.0,0.0,52554.0,51029.0,7849.0,,88.0,43.199999235,95.14999845,2544508.625,0.0,1402882.5,1141651.5,70.41499999999999,1.29
70,54,2016,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,WA,98103.0,NORTHWEST,47.68891,-122.33553,K-12 School,K-12 School,,,,1954.0,1.0,3.0,175015.0,0.0,175015.0,175015.0,,,95.0,40.25,74.3,7037429.25,0.0,2686963.0,4350521.5,249.785,1.395
71,55,2016,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,WA,98121.0,DOWNTOWN,47.61351,-122.35128999999999,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,Vocational School,Office,,1911.0,1.0,3.0,70586.0,0.0,70586.0,38439.0,28197.0,3859.0,,30.55000019,78.099999235,2152845.5,0.0,1553870.0,599008.5,42.65,0.5549999999999999
72,56,2016,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,WA,98101.0,DOWNTOWN,47.60946,-122.33337,Hotel,Hotel,,,,1969.0,1.0,24.0,332210.0,205970.0,126240.0,348630.0,,,67.5,45.650000765,121.40000155,15911911.0,0.0,12256543.0,3655623.0,279.59000000000003,0.76
73,57,2016,NonResidential,Large Office,5th and Pine,413 Pine Street,WA,98101.0,DOWNTOWN,47.6113,-122.33658999999999,"Data Center, Office, Retail Store",Office,Retail Store,Data Center,2016,1973.0,1.0,5.0,168115.0,0.0,168115.0,103431.5,65676.0,423.5,78.5,55.299999619999994,173.65000305,9375001.0,0.0,9375191.0,0.0,65.355,0.275
74,58,2016,NonResidential,Other,1525 4th Avenue,1525 4th Ave,WA,98101.0,DOWNTOWN,47.61076,-122.33765,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,"Personal Services (Health/Beauty, Dry Cleaning, etc)",,,1920.0,1.0,2.0,57428.0,0.0,57428.0,43182.0,9354.5,9783.0,,10.85000038,24.39999962,623681.0,0.0,357469.5,266211.5,16.63,0.29
75,59,2016,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,WA,98101.0,DOWNTOWN,47.610479999999995,-122.33793999999999,"Office, Retail Store",Office,Retail Store,,,1910.0,1.0,8.0,59400.0,0.0,59400.0,34947.0,4993.0,,14.0,91.700000765,353.3000061,4493960.5,0.0,4494040.5,0.0,31.33,0.39
76,60,2016,NonResidential,Mixed Use Property,Mann Building,1401 3rd Avenue,WA,98101.0,DOWNTOWN,47.60886,-122.33743999999999,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,Restaurant,Office,,1926.0,1.0,2.0,52549.0,0.0,52549.0,23500.0,23500.0,5459.0,,291.74999694999997,504.0499939,15305071.5,0.0,4963242.5,10341939.0,583.8599999999999,10.895
77,62,2016,NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,WA,98101.0,DOWNTOWN,47.61233,-122.33431999999999,"Hotel, Parking, Restaurant",Hotel,Parking,Restaurant,,1930.0,1.0,20.0,98634.0,10043.0,88591.0,83591.0,10043.0,5000.0,58.5,62.149999235,179.85000305,5508579.75,0.0,4856529.0,652164.0,68.495,0.575
78,63,2016,NonResidential,Hotel,Sheraton Seattle Hotel,1400 6th Avenue,WA,98101.0,DOWNTOWN,47.61087,-122.33339,"Hotel, Parking, Swimming Pool",Hotel,Parking,Swimming Pool,,1982.0,1.0,34.0,994212.0,146694.0,847518.0,994212.0,117668.0,0.0,61.5,83.400000765,184.9,82913584.0,13914259.0,45293581.5,23706672.5,2648.825,2.5700000000000003
79,65,2016,NonResidential,Hotel,Inn at the Market,86 Pine St,WA,98101.0,DOWNTOWN,47.609970000000004,-122.34138,"Hotel, Parking, Restaurant, Retail Store",Hotel,Parking,Retail Store,,1985.0,1.0,7.0,71150.0,0.0,71150.0,41340.0,13730.0,9604.0,98.5,90.449999235,209.59999695000002,5194345.5,0.0,3148515.5,2045893.0,130.605,1.745
80,66,2016,NonResidential,Hotel,Moore Hotel INC,1926 2nd Ave,WA,98101.0,DOWNTOWN,47.61155,-122.34114,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,Other - Entertainment/Public Assembly,Retail Store,,1908.0,1.0,7.0,122810.0,0.0,122810.0,88360.0,26450.0,8000.0,99.0,42.7,66.949998475,5244070.25,0.0,1299645.0,3944452.0,218.55,1.755
81,67,2016,NonResidential,Hotel,QUALITY INN,618 JOHN ST,WA,98109.0,LAKE UNION,47.619859999999996,-122.34413,"Hotel, Parking",Hotel,Parking,,,1959.0,1.0,5.0,113173.0,42546.0,70627.0,70627.0,42546.0,,86.0,72.700001525,166.14999845,5136292.25,0.0,3035080.0,2101276.5,132.76,1.115
